Ver,11
DevCount,1,TextFormat,1
DevName,XBPQDYZ,LinkCount,316
NodePath,TagName,TagDesc,ParName,LinkDesc,驱动标志,modbus驱动标志,位起始位,扫描周期,使能位,数据类型,I/O数据地址,是否位访问,表示读取数据时需要获取的数据长度,高字节在前0低字节在前1高位在前,读写标志,取反(读出时),文件号,显示数据的格式,显示小数位的个数(若为一位 则 表示字节内部的高低字节 0 低字节 1 高字节)
西部片区调压站\,testYLDW1_3_AI_3_whz,预留点位_1_3_AI_3_维护设定,PV,HR Float:3303,HR Float:3303,-9999,0,0,0,2,3302,0,4,0,0,1,7,0,0
西部片区调压站\,testYLDW1_3_AI_3_whzzt,预留点位_1_3_AI_3_维护使能,PV,DO3220,DO3220,-9999,0,0,0,1,3219,0,1,0,0,1,2,0,0
西部片区调压站\,testSDV101A_ZI,至新捷调节阀阀位,PV,HR Float:3305,HR Float:3305,-9999,0,0,0,2,3304,0,4,0,0,1,7,0,0
西部片区调压站\,testSDV101A_ZI_LoLoLimit,至新捷调节阀阀位_SLL设定,PV,HR Float:3307,HR Float:3307,-9999,0,0,0,2,3306,0,4,0,0,1,7,0,0
西部片区调压站\,testSDV101A_ZI_LoLimit,至新捷调节阀阀位_SL设定,PV,HR Float:3309,HR Float:3309,-9999,0,0,0,2,3308,0,4,0,0,1,7,0,0
西部片区调压站\,testSDV101A_ZI_HiLimit,至新捷调节阀阀位_SH设定,PV,HR Float:3311,HR Float:3311,-9999,0,0,0,2,3310,0,4,0,0,1,7,0,0
西部片区调压站\,testSDV101A_ZI_HiHiLimit,至新捷调节阀阀位_SHH设定,PV,HR Float:3313,HR Float:3313,-9999,0,0,0,2,3312,0,4,0,0,1,7,0,0
西部片区调压站\,testSDV101A_ZI_LL,至新捷调节阀阀位_LL报警,PV,DO3221,DO3221,-9999,0,0,0,1,3220,0,1,0,0,1,2,0,0
西部片区调压站\,testSDV101A_ZI_L,至新捷调节阀阀位_L报警,PV,DO3222,DO3222,-9999,0,0,0,1,3221,0,1,0,0,1,2,0,0
西部片区调压站\,testSDV101A_ZI_H,至新捷调节阀阀位_H报警,PV,DO3223,DO3223,-9999,0,0,0,1,3222,0,1,0,0,1,2,0,0
