Ver,11
DevCount,1,TextFormat,1
DevName,XBPQTYZ,LinkCount,205
NodePath,TagName,TagDesc,ParName,LinkDesc,连接标志,modbus批量建点标志,位运算结束位,批量下置,矢能点,操作类型,I/O数据地址,是否有位操作,表示驱动程序需要读取的数据长,单字节是0低八位；1高八位；,读写标志,数据实际长度,文件号,表示数据的格式,表示按位操作的那一位 或 单字节操作的高低字节 0 低字节 1 高字节
西部片区调压站\,B280902PDT0102_HH,至广汇调压区压差高高报,PV,DO3200,DO3200,-9999,0,0,0,1,3199,0,1,0,0,1,1,2,0
西部片区调压站\,B280902PDT0102_H,至广汇调压区压差高报,PV,DO3201,DO3201,-9999,0,0,0,1,3200,0,1,0,0,1,1,2,0
西部片区调压站\,B280902ESDV106_RL,新捷出口电动阀就地/远程状态指示,PV,DO3241,DO3241,-9999,0,0,0,1,3240,0,1,0,0,1,1,2,0
西部片区调压站\,B280902ESDV106_F,新捷出口电动阀综合故障报警,PV,DO3242,DO3242,-9999,0,0,0,1,3241,0,1,0,0,1,1,2,0
西部片区调压站\,B280902XSC_ESDV106,新捷出口电动阀关阀动作,PV,DO3243,DO3243,-9999,0,0,0,1,3242,0,1,0,0,1,1,2,0
西部片区调压站\,B280902XSO_ESDV106,新捷出口电动阀开阀动作,PV,DO3244,DO3244,-9999,0,0,0,1,3243,0,1,0,0,1,1,2,0
西部片区调压站\,B280902PT0101,进站压力,PV,HR Float:3101,HR Float:3101,-9999,0,0,0,2,3100,0,4,0,0,1,1,7,0
西部片区调压站\,B280902PT0101_MAINV,进站压力维护值,PV,HR Float:3103,HR Float:3103,-9999,0,0,0,2,3102,0,4,0,0,1,1,7,0
西部片区调压站\,B280902PT0101_SHH,进站压力高高限,PV,HR Float:3105,HR Float:3105,-9999,0,0,0,2,3104,0,4,0,0,1,1,7,0
西部片区调压站\,B280902PT0101_SH,进站压力高限,PV,HR Float:3107,HR Float:3105,-9999,0,0,0,2,3106,0,4,0,0,1,1,7,0
西部片区调压站\,B280902PT0101_SL,进站压力低限,PV,HR Float:3109,HR Float:3105,-9999,0,0,0,2,3108,0,4,0,0,1,1,7,0
西部片区调压站\,B280902PT0101_SLL,进站压力低低限,PV,HR Float:3111,HR Float:3106,-9999,0,0,0,2,3110,0,4,0,0,1,1,7,0
西部片区调压站\,B280902PT0102,广汇调压撬进口压力,PV,HR Float:3113,HR Float:3107,-9999,0,0,0,2,3112,0,4,0,0,1,1,7,0
西部片区调压站\,B280902PT0102_MAINV,广汇调压撬进口压力维护值,PV,HR Float:3115,HR Float:3108,-9999,0,0,0,2,3114,0,4,0,0,1,1,7,0
西部片区调压站\,B280902PT0102_SHH,广汇调压撬进口压力高高限,PV,HR Float:3117,HR Float:3109,-9999,0,0,0,2,3116,0,4,0,0,1,1,7,0
西部片区调压站\,B280902PT0102_SH,广汇调压撬进口压力高限,PV,HR Float:3119,HR Float:310:,-9999,0,0,0,2,3118,0,4,0,0,1,1,7,0
西部片区调压站\,B280902PT0102_SL,广汇调压撬进口压力低限,PV,HR Float:3121,HR Float:310;,-9999,0,0,0,2,3120,0,4,0,0,1,1,7,0
西部片区调压站\,B280902PT0102_SLL,广汇调压撬进口压力低低限,PV,HR Float:3123,HR Float:310<,-9999,0,0,0,2,3122,0,4,0,0,1,1,7,0
西部片区调压站\,B280902PT0103,至新捷出口压力,PV,HR Float:3125,HR Float:310=,-9999,0,0,0,2,3124,0,4,0,0,1,1,7,0
西部片区调压站\,B280902PT0103_MAINV,至新捷出口压力维护值,PV,HR Float:3127,HR Float:310>,-9999,0,0,0,2,3126,0,4,0,0,1,1,7,0
西部片区调压站\,B280902PT0103_SHH,至新捷出口压力高高限,PV,HR Float:3129,HR Float:310?,-9999,0,0,0,2,3128,0,4,0,0,1,1,7,0
西部片区调压站\,B280902PT0103_SH,至新捷出口压力高限,PV,HR Float:3131,HR Float:310@,-9999,0,0,0,2,3130,0,4,0,0,1,1,7,0
西部片区调压站\,B280902PT0103_SL,至新捷出口压力低限,PV,HR Float:3133,HR Float:310A,-9999,0,0,0,2,3132,0,4,0,0,1,1,7,0
西部片区调压站\,B280902PT0103_SLL,至新捷出口压力低低限,PV,HR Float:3135,HR Float:310B,-9999,0,0,0,2,3134,0,4,0,0,1,1,7,0
西部片区调压站\,B280902PT0104,至广汇出口压力,PV,HR Float:3137,HR Float:310C,-9999,0,0,0,2,3136,0,4,0,0,1,1,7,0
西部片区调压站\,B280902PT0104_MAINV,至广汇出口压力维护值,PV,HR Float:3139,HR Float:310D,-9999,0,0,0,2,3138,0,4,0,0,1,1,7,0
西部片区调压站\,B280902PT0104_SHH,至广汇出口压力高高限,PV,HR Float:3141,HR Float:310E,-9999,0,0,0,2,3140,0,4,0,0,1,1,7,0
西部片区调压站\,B280902PT0104_SH,至广汇出口压力高限,PV,HR Float:3143,HR Float:310F,-9999,0,0,0,2,3142,0,4,0,0,1,1,7,0
西部片区调压站\,B280902PT0104_SL,至广汇出口压力低限,PV,HR Float:3145,HR Float:310G,-9999,0,0,0,2,3144,0,4,0,0,1,1,7,0
西部片区调压站\,B280902PT0104_SLL,至广汇出口压力低低限,PV,HR Float:3147,HR Float:310H,-9999,0,0,0,2,3146,0,4,0,0,1,1,7,0
西部片区调压站\,B280902TT0101,进站温度,PV,HR Float:3149,HR Float:310I,-9999,0,0,0,2,3148,0,4,0,0,1,1,7,0
西部片区调压站\,B280902TT0101_MAINV,进站温度维护值,PV,HR Float:3151,HR Float:310J,-9999,0,0,0,2,3150,0,4,0,0,1,1,7,0
西部片区调压站\,B280902TT0101_SHH,进站温度高高限,PV,HR Float:3153,HR Float:310K,-9999,0,0,0,2,3152,0,4,0,0,1,1,7,0
西部片区调压站\,B280902TT0101_SH,进站温度高限,PV,HR Float:3155,HR Float:310L,-9999,0,0,0,2,3154,0,4,0,0,1,1,7,0
西部片区调压站\,B280902TT0101_SL,进站温度低限,PV,HR Float:3157,HR Float:310M,-9999,0,0,0,2,3156,0,4,0,0,1,1,7,0
西部片区调压站\,B280902TT0101_SLL,进站温度低低限,PV,HR Float:3159,HR Float:310N,-9999,0,0,0,2,3158,0,4,0,0,1,1,7,0
西部片区调压站\,B280902TT0102,至新捷出口温度,PV,HR Float:3161,HR Float:310O,-9999,0,0,0,2,3160,0,4,0,0,1,1,7,0
